                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.1315,                0.96532,                 1.3336,                0.79126,                0.77792,                0.84807,                0.60362,                 1.0445,                0.87667,                 1.2644,               0.002278,               0.002278,               0.002278
                     81,                 1.1276,                 0.9643,                  1.324,                 0.7985,                0.77334,                0.85075,                0.60641,                  1.043,                0.87285,                 1.2607,               0.002179,               0.002179,               0.002179
                     82,                 1.1337,                 0.9615,                 1.3354,                0.79203,                0.78229,                0.85117,                0.60646,                 1.0383,                0.87269,                 1.2578,                0.00208,                0.00208,                0.00208
                     83,                 1.1139,                 0.9437,                 1.3221,                0.81468,                0.77372,                0.85653,                0.61314,                 1.0361,                0.85911,                 1.2567,               0.001981,               0.001981,               0.001981
                     84,                 1.1172,                0.94668,                 1.3219,                0.80666,                0.77802,                0.85686,                 0.6154,                 1.0283,                0.85102,                 1.2511,               0.001882,               0.001882,               0.001882
                     85,                 1.1111,                0.94072,                 1.3156,                0.80128,                0.79121,                0.85966,                0.62002,                 1.0231,                0.84535,                 1.2451,               0.001783,               0.001783,               0.001783
                     86,                 1.1027,                0.92564,                 1.3058,                0.80518,                 0.7976,                0.86496,                0.62212,                 1.0216,                 0.8428,                 1.2436,               0.001684,               0.001684,               0.001684
                     87,                 1.1022,                 0.9271,                 1.3083,                0.81613,                  0.791,                 0.8635,                 0.6247,                 1.0094,                0.83767,                 1.2355,               0.001585,               0.001585,               0.001585
                     88,                 1.0959,                0.92637,                 1.3069,                0.79598,                0.79214,                0.86151,                0.62154,                 1.0155,                0.84015,                 1.2415,               0.001486,               0.001486,               0.001486
                     89,                 1.0968,                0.91841,                 1.3045,                0.82273,                0.77537,                0.86381,                0.62139,                 1.0144,                0.83609,                 1.2366,               0.001387,               0.001387,               0.001387
                     90,                 1.0842,                0.90383,                 1.2972,                0.83647,                0.76228,                0.86171,                0.62014,                 1.0188,                0.83809,                 1.2419,               0.001288,               0.001288,               0.001288
                     91,                 1.0011,                0.79537,                  1.232,                0.83139,                0.77947,                0.86563,                0.62462,                 1.0104,                0.83226,                 1.2381,               0.001189,               0.001189,               0.001189
                     92,                0.96844,                0.75031,                  1.208,                0.81867,                0.79573,                0.87047,                0.63293,                 1.0017,                0.81884,                 1.2319,                0.00109,                0.00109,                0.00109
                     93,                0.95918,                0.73411,                 1.2036,                0.84584,                0.78611,                0.87293,                0.63811,                0.99582,                0.80683,                 1.2254,               0.000991,               0.000991,               0.000991
                     94,                0.94958,                0.72413,                 1.1947,                0.83927,                0.79435,                0.87576,                0.64348,                0.98781,                 0.8016,                 1.2186,               0.000892,               0.000892,               0.000892
                     95,                0.94472,                0.72128,                 1.1925,                0.84722,                0.79397,                0.87738,                0.64367,                0.99177,                0.79828,                  1.221,               0.000793,               0.000793,               0.000793
                     96,                0.93636,                0.70987,                 1.1886,                0.85073,                 0.7924,                0.87972,                0.64684,                 0.9845,                0.78896,                 1.2161,               0.000694,               0.000694,               0.000694
                     97,                0.93285,                0.70556,                 1.1879,                  0.852,                 0.7927,                 0.8804,                 0.6492,                0.98127,                0.78585,                 1.2178,               0.000595,               0.000595,               0.000595
                     98,                0.92519,                0.69067,                 1.1789,                0.86139,                 0.7947,                0.88219,                0.65068,                0.97974,                0.78189,                 1.2159,               0.000496,               0.000496,               0.000496
                     99,                0.91394,                0.68016,                 1.1693,                0.85547,                0.79486,                0.88276,                0.64927,                0.98029,                0.78024,                 1.2149,               0.000397,               0.000397,               0.000397
                    100,                0.91801,                0.68979,                  1.174,                0.85942,                0.79315,                0.88178,                0.64922,                0.98238,                0.78091,                 1.2172,               0.000298,               0.000298,               0.000298
