                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.0684,                0.88364,                 1.3552,                0.81841,                0.81047,                0.87541,                0.63877,                0.99117,                0.80374,                 1.3237,               0.002179,               0.002179,               0.002179
                     82,                 1.0686,                0.87823,                 1.3622,                0.83893,                0.79169,                0.87243,                0.63838,                0.99507,                0.81127,                 1.3257,                0.00208,                0.00208,                0.00208
                     83,                 1.0527,                0.86228,                  1.349,                0.82614,                 0.8064,                0.87353,                0.64105,                0.98543,                0.79994,                 1.3168,               0.001981,               0.001981,               0.001981
                     84,                 1.0486,                 0.8639,                 1.3434,                0.84139,                0.79876,                0.87367,                0.64139,                0.98415,                0.79621,                 1.3163,               0.001882,               0.001882,               0.001882
                     85,                 1.0461,                0.85634,                 1.3433,                0.84385,                0.80564,                0.87872,                0.64874,                0.97784,                0.78091,                 1.3119,               0.001783,               0.001783,               0.001783
                     86,                 1.0377,                0.84126,                 1.3331,                0.81584,                 0.8212,                0.87566,                 0.6462,                0.97939,                0.78467,                 1.3137,               0.001684,               0.001684,               0.001684
                     87,                 1.0379,                 0.8472,                 1.3368,                0.82032,                0.82224,                 0.8797,                0.64721,                0.97555,                 0.7805,                 1.3121,               0.001585,               0.001585,               0.001585
                     88,                  1.035,                0.84173,                 1.3312,                0.81761,                 0.8165,                0.88008,                0.64958,                0.97536,                0.78134,                 1.3089,               0.001486,               0.001486,               0.001486
                     89,                  1.032,                0.84064,                 1.3343,                0.85656,                0.79429,                0.88325,                0.65129,                0.97482,                0.78064,                 1.3127,               0.001387,               0.001387,               0.001387
                     90,                 1.0193,                0.82224,                  1.324,                0.83681,                0.81776,                 0.8814,                0.65161,                0.96992,                0.78035,                 1.3101,               0.001288,               0.001288,               0.001288
                     91,                0.93115,                0.70865,                 1.2649,                0.83303,                0.81797,                0.88722,                 0.6576,                0.96285,                0.76134,                 1.3051,               0.001189,               0.001189,               0.001189
                     92,                0.90141,                0.66464,                 1.2413,                0.85786,                0.80008,                0.89066,                0.66407,                0.95587,                0.75001,                 1.3033,                0.00109,                0.00109,                0.00109
                     93,                0.89256,                0.64963,                 1.2331,                0.85406,                0.81495,                0.89096,                0.66623,                0.95327,                0.74655,                 1.2997,               0.000991,               0.000991,               0.000991
                     94,                0.87607,                0.63488,                  1.221,                0.86135,                0.81202,                0.89174,                0.66842,                0.94728,                0.74138,                 1.2968,               0.000892,               0.000892,               0.000892
                     95,                0.87051,                0.63324,                 1.2218,                0.85671,                0.82426,                0.89466,                0.67324,                0.94143,                0.73684,                 1.2926,               0.000793,               0.000793,               0.000793
                     96,                0.87139,                0.63428,                 1.2223,                0.85891,                0.82451,                0.89537,                0.67549,                0.93987,                0.73585,                  1.293,               0.000694,               0.000694,               0.000694
                     97,                 0.8619,                0.62014,                 1.2165,                0.85917,                 0.8218,                0.89363,                0.67353,                0.93787,                0.73563,                 1.2924,               0.000595,               0.000595,               0.000595
                     98,                0.85184,                0.61102,                  1.205,                0.86461,                0.81869,                0.89584,                 0.6771,                0.93116,                0.73204,                 1.2859,               0.000496,               0.000496,               0.000496
                     99,                0.84002,                0.60705,                 1.1915,                0.87301,                0.81512,                0.89682,                0.67754,                0.93229,                 0.7307,                 1.2875,               0.000397,               0.000397,               0.000397
                    100,                0.84512,                 0.6075,                 1.1995,                0.87031,                0.81717,                0.89787,                0.67913,                0.92949,                0.72941,                 1.2877,               0.000298,               0.000298,               0.000298
